DNAm,metric,estimate,std.error,p.value,r2,modality,brain_metric,pFDR,significance,FDR_significance,omic_type,model
PIGR,global_cortical_thickness,-0.101846666,0.031633276,0.001343484,0.316842853,cortical,global cortical thickness,0.016685186,Yes,Yes,DNAm,Model 1 (n=709)
WFIKKN2,global_cortical_thickness,0.060302324,0.035283937,0.087887136,0.30954491,cortical,global cortical thickness,0.252097311,No,No,DNAm,Model 1 (n=709)
FCER2,global_cortical_thickness,0.050198881,0.03173299,0.114124662,0.309130115,cortical,global cortical thickness,0.264672087,No,No,DNAm,Model 1 (n=709)
CD48,global_cortical_thickness,-0.054766256,0.032508302,0.092498925,0.30946295,cortical,global cortical thickness,0.258522637,No,No,DNAm,Model 1 (n=709)
CD5L,global_cortical_thickness,-0.025523964,0.033189962,0.442139145,0.307229302,cortical,global cortical thickness,0.599675518,No,No,DNAm,Model 1 (n=709)
CNTN4,global_cortical_thickness,0.100170645,0.032843735,0.002376199,0.315809457,cortical,global cortical thickness,0.019923514,Yes,Yes,DNAm,Model 1 (n=709)
FCGR3B,global_cortical_thickness,-0.01054859,0.03303946,0.749615971,0.306740774,cortical,global cortical thickness,0.800520505,No,No,DNAm,Model 1 (n=709)
SERPIND1,global_cortical_thickness,-0.104757791,0.033466501,0.001819955,0.316291969,cortical,global cortical thickness,0.017388579,Yes,Yes,DNAm,Model 1 (n=709)
LY9,global_cortical_thickness,0.024791108,0.035552315,0.485840175,0.307124406,cortical,global cortical thickness,0.623018577,No,No,DNAm,Model 1 (n=709)
THBS2,global_cortical_thickness,-0.104675647,0.033602289,0.001914339,0.31620038,cortical,global cortical thickness,0.017388579,Yes,Yes,DNAm,Model 1 (n=709)
ACY1,global_cortical_thickness,-0.072405834,0.039923576,0.070169432,0.309909603,cortical,global cortical thickness,0.218527659,No,No,DNAm,Model 1 (n=709)
BMP1,global_cortical_thickness,0.036603616,0.041131329,0.373816913,0.307429275,cortical,global cortical thickness,0.544281272,No,No,DNAm,Model 1 (n=709)
TPSB2,global_cortical_thickness,-0.010271434,0.031711791,0.746111686,0.306743746,cortical,global cortical thickness,0.800520505,No,No,DNAm,Model 1 (n=709)
GZMA,global_cortical_thickness,-0.008189063,0.032335458,0.800147439,0.30670302,cortical,global cortical thickness,0.830629246,No,No,DNAm,Model 1 (n=709)
INSR,global_cortical_thickness,0.01603092,0.032501536,0.622002036,0.30688192,cortical,global cortical thickness,0.698950741,No,No,DNAm,Model 1 (n=709)
SELE,global_cortical_thickness,-0.023138929,0.040357281,0.566592103,0.306967222,cortical,global cortical thickness,0.67128847,No,No,DNAm,Model 1 (n=709)
MPL,global_cortical_thickness,0.036961479,0.032692664,0.258624957,0.307913621,cortical,global cortical thickness,0.447233603,No,No,DNAm,Model 1 (n=709)
B2M,global_cortical_thickness,-0.012612695,0.040881397,0.757779892,0.306734031,cortical,global cortical thickness,0.800520505,No,No,DNAm,Model 1 (n=709)
LTA.LTB,global_cortical_thickness,0.11085464,0.045760774,0.015669927,0.312452801,cortical,global cortical thickness,0.06777584,Yes,No,DNAm,Model 1 (n=709)
CCL22,global_cortical_thickness,-0.036291363,0.031910046,0.255804523,0.307928809,cortical,global cortical thickness,0.447233603,No,No,DNAm,Model 1 (n=709)
CCL17,global_cortical_thickness,-0.036522255,0.03169721,0.249626187,0.30796281,cortical,global cortical thickness,0.447233603,No,No,DNAm,Model 1 (n=709)
ADIPOQ,global_cortical_thickness,0.064405472,0.065983925,0.329365808,0.307589494,cortical,global cortical thickness,0.520302509,No,No,DNAm,Model 1 (n=709)
CHIT1,global_cortical_thickness,-0.003730689,0.047366054,0.937243891,0.306645145,cortical,global cortical thickness,0.937243891,No,No,DNAm,Model 1 (n=709)
HGFAC,global_cortical_thickness,0.005538803,0.031980125,0.862548535,0.306668915,cortical,global cortical thickness,0.870535096,No,No,DNAm,Model 1 (n=709)
ESM1,global_cortical_thickness,-0.041069518,0.032113331,0.201362171,0.308269167,cortical,global cortical thickness,0.399063211,No,No,DNAm,Model 1 (n=709)
CXCL10,global_cortical_thickness,-0.049159949,0.034617674,0.156032755,0.308647887,cortical,global cortical thickness,0.333689121,No,No,DNAm,Model 1 (n=709)
PAPPA,global_cortical_thickness,-0.025151746,0.03182094,0.429555496,0.307262567,cortical,global cortical thickness,0.592677836,No,No,DNAm,Model 1 (n=709)
SERPINA3,global_cortical_thickness,-0.016465962,0.032838,0.616227478,0.306890057,cortical,global cortical thickness,0.698950741,No,No,DNAm,Model 1 (n=709)
MMP2,global_cortical_thickness,0.120709883,0.034972105,0.000591043,0.318340676,cortical,global cortical thickness,0.01073728,Yes,Yes,DNAm,Model 1 (n=709)
CRP,global_cortical_thickness,-0.098129361,0.033287429,0.003306391,0.315213923,cortical,global cortical thickness,0.025742616,Yes,Yes,DNAm,Model 1 (n=709)
MST1,global_cortical_thickness,-0.030082287,0.031709192,0.34310702,0.307536973,cortical,global cortical thickness,0.525691816,No,No,DNAm,Model 1 (n=709)
ENPP7,global_cortical_thickness,0.013031595,0.031728044,0.681398797,0.306807449,cortical,global cortical thickness,0.750226959,No,No,DNAm,Model 1 (n=709)
C4A.C4B,global_cortical_thickness,0.051356718,0.031646719,0.105083444,0.3092601,cortical,global cortical thickness,0.260320349,No,No,DNAm,Model 1 (n=709)
MMP12,global_cortical_thickness,-0.135713312,0.046473901,0.003611443,0.315055276,cortical,global cortical thickness,0.026243154,Yes,Yes,DNAm,Model 1 (n=709)
NCAM1,global_cortical_thickness,0.157581888,0.032478112,1.51E-06,0.329386966,cortical,global cortical thickness,0.000164674,Yes,Yes,DNAm,Model 1 (n=709)
CLEC11A.1,global_cortical_thickness,-0.06089532,0.033912003,0.072979321,0.309845569,cortical,global cortical thickness,0.220965167,No,No,DNAm,Model 1 (n=709)
SLITRK5,global_cortical_thickness,0.128474904,0.03707599,0.000562484,0.318431322,cortical,global cortical thickness,0.01073728,Yes,Yes,DNAm,Model 1 (n=709)
AFM,global_cortical_thickness,0.019792008,0.031739621,0.533112174,0.307027217,cortical,global cortical thickness,0.652912662,No,No,DNAm,Model 1 (n=709)
SELL,global_cortical_thickness,0.104666168,0.037291093,0.005145033,0.314421112,cortical,global cortical thickness,0.03298874,Yes,Yes,DNAm,Model 1 (n=709)
LYZ,global_cortical_thickness,-0.022273418,0.032932206,0.499049183,0.307095663,cortical,global cortical thickness,0.625245529,No,No,DNAm,Model 1 (n=709)
MMP1,global_cortical_thickness,-0.113727859,0.032803323,0.000558829,0.318443257,cortical,global cortical thickness,0.01073728,Yes,Yes,DNAm,Model 1 (n=709)
SHBG,global_cortical_thickness,0.046813025,0.048958803,0.339318412,0.307551168,cortical,global cortical thickness,0.525691816,No,No,DNAm,Model 1 (n=709)
STC1,global_cortical_thickness,-0.091366407,0.065250316,0.161886961,0.308592309,cortical,global cortical thickness,0.339339976,No,No,DNAm,Model 1 (n=709)
GP1BA,global_cortical_thickness,0.029927446,0.03213824,0.352068831,0.30750422,cortical,global cortical thickness,0.525691816,No,No,DNAm,Model 1 (n=709)
LGALS3BP,global_cortical_thickness,-0.030250301,0.032259477,0.348715419,0.307516342,cortical,global cortical thickness,0.525691816,No,No,DNAm,Model 1 (n=709)
CD163,global_cortical_thickness,0.039353334,0.032560716,0.22722285,0.308095285,cortical,global cortical thickness,0.434513871,No,No,DNAm,Model 1 (n=709)
FAP,global_cortical_thickness,0.053860817,0.032494257,0.097860496,0.309373062,cortical,global cortical thickness,0.260320349,No,No,DNAm,Model 1 (n=709)
PRSS2,global_cortical_thickness,-0.09263726,0.032911031,0.005019431,0.314465282,cortical,global cortical thickness,0.03298874,Yes,Yes,DNAm,Model 1 (n=709)
NOTCH1,global_cortical_thickness,0.112803679,0.033980441,0.000948378,0.317476879,cortical,global cortical thickness,0.014767597,Yes,Yes,DNAm,Model 1 (n=709)
ICAM5,global_cortical_thickness,-0.032500379,0.032246109,0.313860796,0.307652362,cortical,global cortical thickness,0.505098202,No,No,DNAm,Model 1 (n=709)
S100A9,global_cortical_thickness,-0.02405604,0.032872264,0.464535497,0.307173578,cortical,global cortical thickness,0.61005264,No,No,DNAm,Model 1 (n=709)
OMD,global_cortical_thickness,0.085498619,0.035613349,0.016623904,0.312349796,cortical,global cortical thickness,0.06777584,Yes,No,DNAm,Model 1 (n=709)
SEMA3E,global_cortical_thickness,0.085138618,0.031834165,0.00766162,0.313712102,cortical,global cortical thickness,0.041755826,Yes,Yes,DNAm,Model 1 (n=709)
SPOCK2,global_cortical_thickness,0.022492407,0.031988127,0.482198948,0.307132559,cortical,global cortical thickness,0.623018577,No,No,DNAm,Model 1 (n=709)
CRTAM,global_cortical_volume,0.025873031,0.023485505,0.270991624,0.631667516,cortical,global cortical volume,0.468858525,No,No,DNAm,Model 1 (n=709)
EZR,global_cortical_volume,0.03341671,0.023506792,0.155598362,0.632094699,cortical,global cortical volume,0.362927136,No,No,DNAm,Model 1 (n=709)
FcRL2,global_cortical_volume,0.007720693,0.023266538,0.740112708,0.631081919,cortical,global cortical volume,0.849589092,No,No,DNAm,Model 1 (n=709)
G.CSF,global_cortical_volume,-0.040112574,0.023585126,0.089436563,0.632554886,cortical,global cortical volume,0.249963727,No,No,DNAm,Model 1 (n=709)
GDF.8,global_cortical_volume,0.090992418,0.023559638,0.000122874,0.638787228,cortical,global cortical volume,0.00334832,Yes,Yes,DNAm,Model 1 (n=709)
GZMA_olink,global_cortical_volume,0.043630381,0.023163213,0.060036068,0.632900128,cortical,global cortical volume,0.186969469,No,No,DNAm,Model 1 (n=709)
N.CDase,global_cortical_volume,0.013829278,0.02322716,0.5517752,0.631211759,cortical,global cortical volume,0.740866314,No,No,DNAm,Model 1 (n=709)
NEP,global_cortical_volume,-0.042374201,0.023350025,0.069995618,0.63276604,cortical,global cortical volume,0.211931177,No,No,DNAm,Model 1 (n=709)
NMNAT1,global_cortical_volume,0.015597153,0.023175138,0.501163485,0.631264042,cortical,global cortical volume,0.718773946,No,No,DNAm,Model 1 (n=709)
NTRK3_olink,global_cortical_volume,0.08351068,0.02353839,0.000414541,0.637596383,cortical,global cortical volume,0.005020556,Yes,Yes,DNAm,Model 1 (n=709)
SIGLEC1,global_cortical_volume,-0.020671474,0.023356408,0.376438842,0.631439371,cortical,global cortical volume,0.577913152,No,No,DNAm,Model 1 (n=709)
SKR3,global_cortical_volume,-0.077624881,0.023222804,0.000874469,0.636869611,cortical,global cortical volume,0.00733209,Yes,Yes,DNAm,Model 1 (n=709)
SMPD1,global_cortical_volume,-0.022923223,0.022966255,0.318566014,0.6315523,cortical,global cortical volume,0.518264112,No,No,DNAm,Model 1 (n=709)
CCL11,global_cortical_volume,-0.041583603,0.023128687,0.072623703,0.632734043,cortical,global cortical volume,0.213945502,No,No,DNAm,Model 1 (n=709)
CD6,global_cortical_volume,0.017455952,0.023529987,0.45842327,0.631315758,cortical,global cortical volume,0.684495019,No,No,DNAm,Model 1 (n=709)
CXCL10_olink,global_cortical_volume,0.033688298,0.02381645,0.15766449,0.632084085,cortical,global cortical volume,0.362927136,No,No,DNAm,Model 1 (n=709)
CXCL11_olink,global_cortical_volume,0.004587896,0.023115952,0.842732996,0.631044326,cortical,global cortical volume,0.909484125,No,No,DNAm,Model 1 (n=709)
CXCL9,global_cortical_volume,-0.027082996,0.024049581,0.26049904,0.631696399,cortical,global cortical volume,0.457974118,No,No,DNAm,Model 1 (n=709)
EN.RAGE,global_cortical_volume,-0.024262698,0.023560216,0.303454939,0.631586367,cortical,global cortical volume,0.50116043,No,No,DNAm,Model 1 (n=709)
FGF.21,global_cortical_volume,-0.055890296,0.023430348,0.01732881,0.634023986,cortical,global cortical volume,0.075553611,Yes,No,DNAm,Model 1 (n=709)
HGF,global_cortical_volume,-0.064491279,0.02341892,0.006044748,0.635011683,cortical,global cortical volume,0.03605246,Yes,Yes,DNAm,Model 1 (n=709)
MMP.1_olink,global_cortical_volume,-0.056860622,0.023819519,0.017246599,0.634028388,cortical,global cortical volume,0.075553611,Yes,No,DNAm,Model 1 (n=709)
OSM,global_cortical_volume,-0.033406171,0.023405226,0.153944535,0.63210331,cortical,global cortical volume,0.362927136,No,No,DNAm,Model 1 (n=709)
TGF.alpha,global_cortical_volume,-0.064553886,0.023482873,0.00613362,0.634997845,cortical,global cortical volume,0.03605246,Yes,Yes,DNAm,Model 1 (n=709)
VEGFA,global_cortical_volume,-0.088789322,0.023366091,0.000157449,0.638543862,cortical,global cortical volume,0.003432381,Yes,Yes,DNAm,Model 1 (n=709)
CCL21,global_cortical_volume,-0.001912164,0.027208725,0.94399296,0.631026009,cortical,global cortical volume,0.970709742,No,No,DNAm,Model 1 (n=709)
MMP9,global_cortical_volume,-0.063009431,0.023541457,0.007614516,0.634793231,cortical,global cortical volume,0.04149911,Yes,Yes,DNAm,Model 1 (n=709)
MPO,global_cortical_volume,-0.030516739,0.023100305,0.186918924,0.631948911,cortical,global cortical volume,0.401662536,No,No,DNAm,Model 1 (n=709)
NTRK3,global_cortical_volume,0.104568789,0.02344235,9.53E-06,0.641307447,cortical,global cortical volume,0.000519313,Yes,Yes,DNAm,Model 1 (n=709)
TNFRSF17,global_cortical_volume,-0.002195842,0.024200524,0.92772911,0.631027761,cortical,global cortical volume,0.963071171,No,No,DNAm,Model 1 (n=709)
MIA,global_cortical_volume,-0.004254343,0.02324287,0.854821163,0.631041195,cortical,global cortical volume,0.91348536,No,No,DNAm,Model 1 (n=709)
CCL25,global_cortical_volume,-0.009220105,0.02335087,0.693074472,0.631106255,cortical,global cortical volume,0.843485449,No,No,DNAm,Model 1 (n=709)
IGFBP1,global_cortical_volume,-0.00676106,0.030720632,0.825871965,0.631049134,cortical,global cortical volume,0.909484125,No,No,DNAm,Model 1 (n=709)
LTF,global_cortical_volume,-0.00632518,0.023645626,0.789164504,0.631061423,cortical,global cortical volume,0.886793102,No,No,DNAm,Model 1 (n=709)
BCAM,global_cortical_volume,-0.044593891,0.023065516,0.053598552,0.633000039,cortical,global cortical volume,0.171830652,No,No,DNAm,Model 1 (n=709)
EDA,global_cortical_volume,0.007852937,0.02369863,0.740467557,0.631081753,cortical,global cortical volume,0.849589092,No,No,DNAm,Model 1 (n=709)
C5,global_cortical_volume,-0.010982296,0.024139358,0.649284661,0.631133397,cortical,global cortical volume,0.816123257,No,No,DNAm,Model 1 (n=709)
GHR,global_cortical_volume,-0.013865273,0.023828562,0.560839027,0.631203307,cortical,global cortical volume,0.740866314,No,No,DNAm,Model 1 (n=709)
IGFBP4,global_cortical_volume,-0.080846223,0.023602183,0.000650113,0.637157802,cortical,global cortical volume,0.005905189,Yes,Yes,DNAm,Model 1 (n=709)
CLEC11A,global_cortical_volume,-0.014324154,0.024826456,0.564145909,0.631200288,cortical,global cortical volume,0.740866314,No,No,DNAm,Model 1 (n=709)
VCAM1,global_cortical_volume,0.027239695,0.027973254,0.330506837,0.631526843,cortical,global cortical volume,0.529783018,No,No,DNAm,Model 1 (n=709)
LGALS4,global_cortical_volume,-0.03805707,0.024297631,0.117737202,0.632323103,cortical,global cortical volume,0.320833874,No,No,DNAm,Model 1 (n=709)
CD209,global_cortical_volume,0.008648522,0.025501488,0.734608413,0.631084523,cortical,global cortical volume,0.849589092,No,No,DNAm,Model 1 (n=709)
IL19,global_cortical_volume,0.031013969,0.023729215,0.191647247,0.631929366,cortical,global cortical volume,0.401722114,No,No,DNAm,Model 1 (n=709)
CXCL11,global_cortical_volume,-0.012557805,0.023729712,0.596834723,0.631172219,cortical,global cortical volume,0.774464104,No,No,DNAm,Model 1 (n=709)
MRC2,global_cortical_volume,0.05355881,0.023355399,0.022134105,0.633798289,cortical,global cortical volume,0.092792978,Yes,No,DNAm,Model 1 (n=709)
CCL18,global_cortical_volume,-0.063533017,0.030719838,0.038996516,0.633283507,cortical,global cortical volume,0.13683013,Yes,No,DNAm,Model 1 (n=709)
RETN,global_cortical_volume,-0.012133635,0.023525804,0.606187313,0.631164756,cortical,global cortical volume,0.777346083,No,No,DNAm,Model 1 (n=709)
C9,global_cortical_volume,-0.031270324,0.023597484,0.185555842,0.631954653,cortical,global cortical volume,0.401662536,No,No,DNAm,Model 1 (n=709)
RARRES2,global_cortical_volume,-0.085743055,0.024909022,0.000611509,0.637217389,cortical,global cortical volume,0.005905189,Yes,Yes,DNAm,Model 1 (n=709)
TNFRSF1B,global_cortical_volume,0.023494131,0.027746917,0.39743784,0.631404169,cortical,global cortical volume,0.601676731,No,No,DNAm,Model 1 (n=709)
IDUA,global_cortical_volume,-0.014595704,0.023076538,0.527274356,0.631235952,cortical,global cortical volume,0.736922291,No,No,DNAm,Model 1 (n=709)
ADAMTS13,global_cortical_volume,0.0494258,0.024041516,0.040170313,0.633256885,cortical,global cortical volume,0.13683013,Yes,No,DNAm,Model 1 (n=709)
F7,global_cortical_volume,0.003285814,0.023499178,0.888837451,0.631033778,cortical,global cortical volume,0.94061439,No,No,DNAm,Model 1 (n=709)
GNLY,global_cortical_volume,0.044151851,0.025003848,0.077868676,0.632673736,cortical,global cortical volume,0.22336015,No,No,DNAm,Model 1 (n=709)
PIGR,global_cortical_volume,-0.098854301,0.022921099,1.85E-05,0.640654422,cortical,global cortical volume,0.000670605,Yes,Yes,DNAm,Model 1 (n=709)
WFIKKN2,global_cortical_volume,0.029744908,0.025744643,0.24833149,0.631731747,cortical,global cortical volume,0.451881227,No,No,DNAm,Model 1 (n=709)
FCER2,global_cortical_volume,0.028452012,0.023143836,0.219355003,0.631825154,cortical,global cortical volume,0.419847337,No,No,DNAm,Model 1 (n=709)
CD48,global_cortical_volume,-0.016548458,0.023732504,0.485854299,0.631281707,cortical,global cortical volume,0.706108248,No,No,DNAm,Model 1 (n=709)
CD5L,global_cortical_volume,-0.014179346,0.024193538,0.558012383,0.631205915,cortical,global cortical volume,0.740866314,No,No,DNAm,Model 1 (n=709)
CNTN4,global_cortical_volume,0.0827929,0.023890946,0.000561924,0.637299744,cortical,global cortical volume,0.005905189,Yes,Yes,DNAm,Model 1 (n=709)
FCGR3B,global_cortical_volume,0.014655017,0.024074874,0.542904841,0.631220286,cortical,global cortical volume,0.740866314,No,No,DNAm,Model 1 (n=709)
SERPIND1,global_cortical_volume,-0.080682367,0.024370655,0.000979014,0.636760016,cortical,global cortical volume,0.00762232,Yes,Yes,DNAm,Model 1 (n=709)
LY9,global_cortical_volume,0.037505492,0.025880877,0.147745036,0.632136547,cortical,global cortical volume,0.362927136,No,No,DNAm,Model 1 (n=709)
THBS2,global_cortical_volume,-0.088962555,0.024428038,0.000290872,0.637942575,cortical,global cortical volume,0.004529293,Yes,Yes,DNAm,Model 1 (n=709)
ACY1,global_cortical_volume,0.002822944,0.029165427,0.922920515,0.631028364,cortical,global cortical volume,0.963071171,No,No,DNAm,Model 1 (n=709)
BMP1,global_cortical_volume,0.032599286,0.02996854,0.277068281,0.631651419,cortical,global cortical volume,0.471881915,No,No,DNAm,Model 1 (n=709)
TPSB2,global_cortical_volume,-0.014612689,0.023107003,0.527338887,0.631235885,cortical,global cortical volume,0.736922291,No,No,DNAm,Model 1 (n=709)
GZMA,global_cortical_volume,0.007909622,0.023565625,0.737242016,0.631083269,cortical,global cortical volume,0.849589092,No,No,DNAm,Model 1 (n=709)
INSR,global_cortical_volume,0.005164033,0.023690828,0.827511855,0.631048643,cortical,global cortical volume,0.909484125,No,No,DNAm,Model 1 (n=709)
SELE,global_cortical_volume,-0.044564005,0.029371135,0.129653348,0.632243294,cortical,global cortical volume,0.34468817,No,No,DNAm,Model 1 (n=709)
MPL,global_cortical_volume,0.030845179,0.023819956,0.195774958,0.631912757,cortical,global cortical volume,0.402631518,No,No,DNAm,Model 1 (n=709)
B2M,global_cortical_volume,0.013466578,0.029792483,0.651401132,0.631131979,cortical,global cortical volume,0.816123257,No,No,DNAm,Model 1 (n=709)
LTA.LTB,global_cortical_volume,0.044087359,0.033449843,0.187933847,0.631944668,cortical,global cortical volume,0.401662536,No,No,DNAm,Model 1 (n=709)
CCL22,global_cortical_volume,-0.004765987,0.023277362,0.837829259,0.63104567,cortical,global cortical volume,0.909484125,No,No,DNAm,Model 1 (n=709)
CCL17,global_cortical_volume,-0.063421925,0.022997705,0.005973184,0.635022977,cortical,global cortical volume,0.03605246,Yes,Yes,DNAm,Model 1 (n=709)
ADIPOQ,global_cortical_volume,0.043971337,0.048093874,0.360886508,0.631467275,cortical,global cortical volume,0.561951849,No,No,DNAm,Model 1 (n=709)
CHIT1,global_cortical_volume,-0.012718101,0.034517695,0.712648868,0.631095547,cortical,global cortical volume,0.849589092,No,No,DNAm,Model 1 (n=709)
HGFAC,global_cortical_volume,-0.026470017,0.023286313,0.256047718,0.63170909,cortical,global cortical volume,0.457527889,No,No,DNAm,Model 1 (n=709)
ESM1,global_cortical_volume,0.000561034,0.023432113,0.980904995,0.631023688,cortical,global cortical volume,0.989987449,No,No,DNAm,Model 1 (n=709)
CXCL10,global_cortical_volume,-0.029139032,0.02524216,0.24874196,0.63173052,cortical,global cortical volume,0.451881227,No,No,DNAm,Model 1 (n=709)
PAPPA,global_cortical_volume,-0.034545189,0.023164812,0.136342747,0.632201986,cortical,global cortical volume,0.345613009,No,No,DNAm,Model 1 (n=709)
SERPINA3,global_cortical_volume,0.00069802,0.023937027,0.976744829,0.631023836,cortical,global cortical volume,0.989987449,No,No,DNAm,Model 1 (n=709)
MMP2,global_cortical_volume,0.049936964,0.02563592,0.05182621,0.633029785,cortical,global cortical volume,0.171183542,No,No,DNAm,Model 1 (n=709)
CRP,global_cortical_volume,-0.062654022,0.024295548,0.010118437,0.634525592,cortical,global cortical volume,0.050132257,Yes,No,DNAm,Model 1 (n=709)
MST1,global_cortical_volume,-0.032494756,0.023092078,0.159821124,0.632073174,cortical,global cortical volume,0.362927136,No,No,DNAm,Model 1 (n=709)
ENPP7,global_cortical_volume,-0.029652382,0.023099161,0.19967554,0.631897433,cortical,global cortical volume,0.403048775,No,No,DNAm,Model 1 (n=709)
C4A.C4B,global_cortical_volume,0.000108113,0.023108207,0.996268406,0.631023395,cortical,global cortical volume,0.996268406,No,No,DNAm,Model 1 (n=709)
MMP12,global_cortical_volume,-0.121710957,0.033763532,0.000334749,0.637805205,cortical,global cortical volume,0.004560949,Yes,Yes,DNAm,Model 1 (n=709)
NCAM1,global_cortical_volume,0.11009095,0.023702959,4.08E-06,0.642146933,cortical,global cortical volume,0.000444316,Yes,Yes,DNAm,Model 1 (n=709)
CLEC11A.1,global_cortical_volume,-0.023266854,0.024757054,0.347643521,0.631492374,cortical,global cortical volume,0.549175997,No,No,DNAm,Model 1 (n=709)
SLITRK5,global_cortical_volume,0.061867231,0.027152789,0.023000711,0.633763034,cortical,global cortical volume,0.092854722,Yes,No,DNAm,Model 1 (n=709)
AFM,global_cortical_volume,0.027383116,0.023115316,0.236568971,0.631767992,cortical,global cortical volume,0.444586514,No,No,DNAm,Model 1 (n=709)
SELL,global_cortical_volume,0.066424516,0.027215436,0.014908139,0.634163557,cortical,global cortical volume,0.070651614,Yes,No,DNAm,Model 1 (n=709)
LYZ,global_cortical_volume,-0.006829227,0.024007874,0.776144418,0.631066399,cortical,global cortical volume,0.881247309,No,No,DNAm,Model 1 (n=709)
MMP1,global_cortical_volume,-0.053861691,0.024026744,0.02529345,0.633676009,cortical,global cortical volume,0.095068485,Yes,No,DNAm,Model 1 (n=709)
SHBG,global_cortical_volume,0.014410777,0.035701035,0.686593332,0.63110999,cortical,global cortical volume,0.843485449,No,No,DNAm,Model 1 (n=709)
STC1,global_cortical_volume,-0.059147839,0.047569342,0.214139408,0.631843539,cortical,global cortical volume,0.419847337,No,No,DNAm,Model 1 (n=709)
GP1BA,global_cortical_volume,0.050736413,0.023358078,0.030184912,0.633514891,cortical,global cortical volume,0.109671847,Yes,No,DNAm,Model 1 (n=709)
LGALS3BP,global_cortical_volume,-0.016683841,0.023517436,0.478299464,0.631290768,cortical,global cortical volume,0.704522184,No,No,DNAm,Model 1 (n=709)
CD163,global_cortical_volume,0.009270098,0.023752974,0.696455875,0.631104345,cortical,global cortical volume,0.843485449,No,No,DNAm,Model 1 (n=709)
FAP,global_cortical_volume,0.02453834,0.023710725,0.301073902,0.631591936,cortical,global cortical volume,0.50116043,No,No,DNAm,Model 1 (n=709)
PRSS2,global_cortical_volume,-0.062966752,0.024003752,0.008901994,0.63464597,cortical,global cortical volume,0.046205587,Yes,Yes,DNAm,Model 1 (n=709)
NOTCH1,global_cortical_volume,0.073698525,0.024803917,0.00306846,0.635658137,cortical,global cortical volume,0.022297477,Yes,Yes,DNAm,Model 1 (n=709)
ICAM5,global_cortical_volume,-0.064116307,0.023392252,0.006284374,0.634974832,cortical,global cortical volume,0.03605246,Yes,Yes,DNAm,Model 1 (n=709)
S100A9,global_cortical_volume,-0.035985999,0.02392796,0.13305408,0.632222005,cortical,global cortical volume,0.345307018,No,No,DNAm,Model 1 (n=709)
OMD,global_cortical_volume,0.058423462,0.025968442,0.024775023,0.633694951,cortical,global cortical volume,0.095068485,Yes,No,DNAm,Model 1 (n=709)
SEMA3E,global_cortical_volume,0.086138062,0.023089988,0.000206686,0.638277079,cortical,global cortical volume,0.003754802,Yes,Yes,DNAm,Model 1 (n=709)
SPOCK2,global_cortical_volume,0.0286271,0.023296282,0.219553194,0.631824465,cortical,global cortical volume,0.419847337,No,No,DNAm,Model 1 (n=709)
CRTAM,global_subcortical_volume,0.034034892,0.026690394,0.202678778,0.530110842,subcortical,global subcortical volume,0.711417539,No,No,DNAm,Model 1 (n=709)
EZR,global_subcortical_volume,0.025798879,0.026759577,0.335335578,0.529635043,subcortical,global subcortical volume,0.727407631,No,No,DNAm,Model 1 (n=709)
FcRL2,global_subcortical_volume,-0.00107078,0.026529438,0.967816301,0.528999773,subcortical,global subcortical volume,0.98084498,No,No,DNAm,Model 1 (n=709)
G.CSF,global_subcortical_volume,-0.037975094,0.026825046,0.157328788,0.530368645,subcortical,global subcortical volume,0.685953516,No,No,DNAm,Model 1 (n=709)
GDF.8,global_subcortical_volume,-0.011094024,0.027040098,0.681728142,0.529114033,subcortical,global subcortical volume,0.886786858,No,No,DNAm,Model 1 (n=709)
GZMA_olink,global_subcortical_volume,0.045746845,0.026379688,0.083336619,0.531051478,subcortical,global subcortical volume,0.569591573,No,No,DNAm,Model 1 (n=709)
N.CDase,global_subcortical_volume,0.025240347,0.026557872,0.342248128,0.529617098,subcortical,global subcortical volume,0.727407631,No,No,DNAm,Model 1 (n=709)
NEP,global_subcortical_volume,-0.047050259,0.02654058,0.076710416,0.531143454,subcortical,global subcortical volume,0.569591573,No,No,DNAm,Model 1 (n=709)
NMNAT1,global_subcortical_volume,0.026324523,0.026377254,0.318630314,0.52968052,subcortical,global subcortical volume,0.727407631,No,No,DNAm,Model 1 (n=709)
NTRK3_olink,global_subcortical_volume,0.016518004,0.027159613,0.543267388,0.52925211,subcortical,global subcortical volume,0.811180073,No,No,DNAm,Model 1 (n=709)
SIGLEC1,global_subcortical_volume,-0.044173581,0.026584046,0.097037667,0.530884069,subcortical,global subcortical volume,0.587616984,No,No,DNAm,Model 1 (n=709)
SKR3,global_subcortical_volume,-0.046536287,0.026597961,0.08063063,0.531088055,subcortical,global subcortical volume,0.569591573,No,No,DNAm,Model 1 (n=709)
SMPD1,global_subcortical_volume,0.007410963,0.026102611,0.776559881,0.529053914,subcortical,global subcortical volume,0.895276979,No,No,DNAm,Model 1 (n=709)
CCL11,global_subcortical_volume,-0.002513272,0.026539508,0.924581305,0.529004804,subcortical,global subcortical volume,0.97844041,No,No,DNAm,Model 1 (n=709)
CD6,global_subcortical_volume,0.023424046,0.0269165,0.38446855,0.529517305,subcortical,global subcortical volume,0.727407631,No,No,DNAm,Model 1 (n=709)
